PID,RELS_EXT_hasModel_uri_s,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_isMemberOf_uri_ms,RELS_EXT_isConstituentOf_uri_ms,RELS_EXT_isPageOf_uri_ms,dc.format,dc.language,dc.relation,dc.description,dc.coverage,dc.identifier,dc.subject,dc.contributor,dc.publisher,dc.date,dc.title,dc.rights,dc.type,dc.source,dc.creator,sequence,file,ID,model
msvu:5898,,info:fedora/msvu:5894,,,,,,,"Sports highlighted: basketball\, volleyball\, field hockey\, tennis\, netball\, badminton\, modern dance\, fitness\, yoga\, swimming\, curling\, bowling\, skating","Mount Saint Vincent University (Halifax\, N.S.)",msvu:5898,"College publications,College publications--Mount Saint Vincent University (Halifax\, N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department,1976-77,Athletics Recreation Year Book 1976,,"Newsletters,Text",,,,https://msvu.cairnrepo.org/islandora/object/msvu:5898/datastream/OBJ/download,24,islandora:sp_pdf
msvu:5943,,info:fedora/msvu:5894,,,,"print,35 p.",,,"Sports highlighted: basketball\, volleyball\, field hockey\, tennis\, netball\, badminton\, modern dance\, fitness\, yoga\, swimming\, curling\, bowling\, skating\, men's hockey.",Mount Saint Vincent University Halifax (N.S.),msvu:5943,"College publications,College publications--Mount Saint Vincent University Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,1981,Athletics Recreation Yearbook 1981,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5943/datastream/OBJ/download,25,islandora:sp_pdf
msvu:5903,,info:fedora/msvu:5894,,,,,,,"Sports highlighted: jogging\, women's basketball\, volleyball\, badminton\, hockey\, men's basketball.","Mount Saint Vincent University (Halifax\, N.S.)",msvu:5903,"College publications,College publications--Mount Saint Vincent University (Halifax\, N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,1982-83,Athletics Recreation Yearbook 1982,,"Yearbooks,Text",,,,https://msvu.cairnrepo.org/islandora/object/msvu:5903/datastream/OBJ/download,26,islandora:sp_pdf
msvu:5948,,info:fedora/msvu:5941,,,,"print,eight pages; colour",,,"Sports highlighted: women's basketball\, men's basketball\, women's soccer\, men's soccer\, women's volleyball\,",Halifax (N.S.),msvu:5948,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2007-09,Mystics Athletics and Recreation Newsletter: September 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5948/datastream/OBJ/download,27,islandora:sp_pdf
msvu:5950,,info:fedora/msvu:5941,,,,"print,4 pages; colour",,,"Sports highlighted: women's soccer\, men's soccer.",Halifax (N.S.),msvu:5950,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2007-11/12,Mystics Athletics and Recreation Newsletter: November and December 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5950/datastream/OBJ/download,28,islandora:sp_pdf
msvu:5947,,info:fedora/msvu:5941,,,,"print,4 pages; colour",,,"Sports highlighted: women's basketball\, women's volleyball\, men's basketball",Halifax (N.S.),msvu:5947,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2007-03/04,Mystics Athletics and Recreation Newsletter: March and April 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5947/datastream/OBJ/download,29,islandora:sp_pdf
msvu:5949,,info:fedora/msvu:5941,,,,"print,2 pages; colour",,,"Sports highlighted: women's soccer\, men's soccer\, intramural hockey.",Halifax (N.S.),msvu:5949,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2007-10,Mystics Athletics and Recreation Newsletter: October 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5949/datastream/OBJ/download,30,islandora:sp_pdf
msvu:5907,,info:fedora/msvu:5894,,,,,,,"Sports highlighted: basketball\, volleyball\, field hockey\, tennis\, netball\, badminton\, modern dance\, fitness\, yoga\, swimming\, curling\, bowling\, skating.","Mount Saint Vincent University (Halifax\, N.S.)",msvu:5907,"College publications,College publications--Mount Saint Vincent University (Halifax\, N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,1985,Athletics Recreation Yearbook 1985,,"Newsletters,Text",,,,https://msvu.cairnrepo.org/islandora/object/msvu:5907/datastream/OBJ/download,31,islandora:sp_pdf
msvu:5927,,info:fedora/msvu:5902,,,,"print,4 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and the ath/rec society.",Halifax (N.S.),msvu:5927,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1999,Athletics/Recreation Review 1999,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5927/datastream/OBJ/download,32,islandora:sp_pdf
msvu:5913,,info:fedora/msvu:5902,,,,"print,4 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton.",Halifax (N.S.),msvu:5913,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1993,Athletics/Recreation Review 1993,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5913/datastream/OBJ/download,33,islandora:sp_pdf
msvu:5929,,info:fedora/msvu:5902,,,,"print,4 pages; b & w.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and the ath/rec society.",Halifax (N.S.),msvu:5929,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1996,Athletics/Recreation Review 1996,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5929/datastream/OBJ/download,34,islandora:sp_pdf
msvu:5911,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's soccer\, women's volleyball\, and co-ed badminton.",Halifax (N.S.),msvu:5911,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1994,Athletics/Recreation Review 1994,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5911/datastream/OBJ/download,35,islandora:sp_pdf
msvu:5920,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton.",Halifax (N.S.),msvu:5920,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2003,Athletics/Recreation Review 2003,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5920/datastream/OBJ/download,36,islandora:sp_pdf
msvu:5924,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, and co-ed badminton.",Halifax (N.S.),msvu:5924,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1997,Athletics/Recreation Review 1997,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5924/datastream/OBJ/download,37,islandora:sp_pdf
msvu:5925,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer\, co-ed badminton\, and the ath/rec society.",Halifax (N.S.),msvu:5925,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 1995,Athletics/Recreation Review 1995,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5925/datastream/OBJ/download,38,islandora:sp_pdf
msvu:5919,,info:fedora/msvu:5902,,,,"print,4 pages; b & w and colour.",,,"Featured teams include women's basketball\, men's basketball\, women's volleyball\, women's soccer.",Halifax (N.S.),msvu:5919,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2004,Athletics/Recreation Review 2004,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5919/datastream/OBJ/download,39,islandora:sp_pdf
msvu:5940,,info:fedora/msvu:5931,,,,"print,4 pages; b & w.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer.",Halifax (N.S.),msvu:5940,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,April 2007,Mystics Year in Review 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5940/datastream/OBJ/download,40,islandora:sp_pdf
msvu:5939,,info:fedora/msvu:5931,,,,"print,4 pages; b & w\, colour.",,,"Featured teams include women's volleyball\, women's basketball\, men's basketball\, women's soccer\, and men's soccer.",Halifax (N.S.),msvu:5939,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department,2006,Mystics Year in Review 2005-2006,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5939/datastream/OBJ/download,41,islandora:sp_pdf
msvu:5945,,info:fedora/msvu:5941,,,,six pages; colour,,,"Sports highlighted: women's basketball\, women's volleyball\, men's basketball\, men's soccer.",Mount Saint Vincent University Halifax (N.S.),msvu:5945,"College publications,College publications--Mount Saint Vincent University Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2007-01,Mystics Athletics and Recreation Newsletter: January 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5945/datastream/OBJ/download,42,islandora:sp_pdf
msvu:5946,,info:fedora/msvu:5941,,,,"print,four pages; b & w",,,"Sports highlighted: women's volleyball\, women's basketball\, men's basketball\, intramural street hockey.",Mount Saint Vincent University Halifax (N.S.),msvu:5946,"College publications,College publications--Mount Saint Vincent University Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2007-02,Mystics Athletics and Recreation Newsletter: February 2007,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5946/datastream/OBJ/download,43,islandora:sp_pdf
msvu:5953,,info:fedora/msvu:5931,,,,"print,16 pages; colour",,,"Featured teams include women's soccer\, men's soccer\, women's volleyball\, women's basketball\, men's basketball\, athletics and recreational awards winners.",Halifax (N.S.),msvu:5953,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2017,Athletics/Recreation Review 2016-2017,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5953/datastream/OBJ/download,44,islandora:sp_pdf
msvu:5954,,info:fedora/msvu:5931,,,,"print,16 pages; colour",,,"Featured teams include women's soccer\, men's soccer\, women's volleyball\, women's basketball\, men's basketball\, athletics and recreational awards winners.",Halifax (N.S.),msvu:5954,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2018,Athletics/Recreation Review 2017-2018,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5954/datastream/OBJ/download,45,islandora:sp_pdf
msvu:5952,,info:fedora/msvu:5931,,,,"print,16 pages; colour",,,"Featured teams include cross country running\, women's soccer\, men's soccer\, women's volleyball\, women's basketball\, men's basketball\, athletics and recreational awards winners.",Halifax (N.S.),msvu:5952,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2016,Athletics/Recreation Review 2015-2016,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5952/datastream/OBJ/download,46,islandora:sp_pdf
msvu:5951,,info:fedora/msvu:5931,,,,"print,16 pages; colour",,,"Featured teams include women's soccer\, men's soccer\, women's volleyball\, women's basketball\, men's basketball\, athletics and recreational awards winners.",Halifax (N.S.),msvu:5951,"College publications,College publications--Halifax (N.S.)",Mount Saint Vincent University (Issuing body),This item was published by the Mount Saint Vincent University Athletics Department.,2015,Athletics/Recreation Review 2014-2015,,Text,,,,https://msvu.cairnrepo.org/islandora/object/msvu:5951/datastream/OBJ/download,47,islandora:sp_pdf
msvu:6227,,info:fedora/msvu:6190,,,,16 pages; colour,,,"Topics covered include: A Message From Your President's; Tyler Deacon; Shinerama Progress!; SRC Fall By-Elections; Ingrid Jenker; Art Gallery News; Darrell MacLean; Library News; Todd Hoffman; Vinnie's Pub and Lounge and Crows Nest Cafe News; Rosaria Student Centre - What's So Good About It?; Student Union Information Services A.K.A ""The Info Desk""; Career Planning: Your Future Starts Now!; Lara Ryan; Scotia Bank AIDS Walk; Morris MacLeod; What Really Grinds My Gears - With Morris MacLeod; What Student Movement; Dear Monty;","Mount Saint Vincent University (Halifax\, N.S.)",msvu:6227,"College student newspapers and periodicals,College student newspapers and periodicals--Mount Saint Vincent University (Halifax\, N.S.)","Mary Jane Leslie (Editor),Mount Saint Vincent University (Issuing body)",,"September\, 2008","2008\, Vol 4. No. 1: Going for Shinerama Gold",,Student newspaper,,,,https://msvu.cairnrepo.org/islandora/object/msvu:6227/datastream/OBJ/download,48,islandora:sp_pdf
msvu:6223,,info:fedora/msvu:6190,,,,"12 pages\, colour",,,"Topics covered include: Anna Suutarla; Meet Morgan\, A Young\, Dedicated Artist; Allanah McCormack; MSVU Students Looks to the Skies; Amy Eaton; Student Refugee to Study at MSVU September 2007; Leslie Earle; Wish Day a Success; Lisa Harietha; Fountain Play Centre: a Review and a Thank you; David Porter; MSVU Elections 2007; Amber Daley; New SU Pres.; Mount Cup Comes to a Close; Amber Daley; Mardi Gras Super Pub Another Success; A Night in Paris; Recognizing Excellence at the Mount: This Year's Award Recipients; Jane McCormack; Volunteer of the Year Awards from the Student Resource Centre; Kristen McCurdy; The Cornerstore: What We're All About; Amy Eaton; Imagine This; MSLSC Seeks to Help Students Better Cope with Education Debt; LLoyd Nash; What Really Grinds My Gears; Jeremy Neilson; Movie Review: 300; Mystics End Solid Season on High Note;","Mount Saint Vincent University (Halifax\, N.S.)",msvu:6223,"College student newspapers and periodicals,College student newspapers and periodicals--Mount Saint Vincent University (Halifax\, N.S.)","Ashley Dawe (Editor),Mount Saint Vincent University (Issuing body)",,"May\, 2007","2007\, Vol. 2\, No. 6: Meet Morgan\, A Young\, Dedicated Artist",,Student newspaper,,,,https://msvu.cairnrepo.org/islandora/object/msvu:6223/datastream/OBJ/download,49,islandora:sp_pdf
