PID,RELS_EXT_hasModel_uri_s,RELS_EXT_isMemberOfCollection_uri_ms,RELS_EXT_isMemberOf_uri_ms,RELS_EXT_isConstituentOf_uri_ms,RELS_EXT_isPageOf_uri_ms,dc.format,dc.language,dc.relation,dc.description,dc.coverage,dc.identifier,dc.subject,dc.contributor,dc.publisher,dc.date,dc.title,dc.rights,dc.type,dc.source,dc.creator,sequence,file,ID,model
cbu:1672,,info:fedora/cbu:faculty-works,,,,,,Psycholinguistics,"This chapter discusses aspects of Cameroon French pragmatics\, with focus on gratitude expressions. The chapter presents the taxonomy of patterns employed by Cameroon French speakers to express their gratitude to friends\, strangers\, and superiors/professors. Cameroon French speakers are found to express their gratitude directly or indirectly using a wide range of linguistic and pragmatic strategies\, and the expressions employed mostly occur in speech act sets\, which generally involve combinations of direct and indirect gratitude expressions and supportive acts. The results also reveal the use of nominal address terms to modify the illocutionary force of gratitude expressions. Overall\, the linguistic and pragmatic choices made by Cameroon French speakers vary according to degree of familiarity and power distance between the interlocutors. The study adds to a growing body of research on Cameroon French pragmatics.",,"cbu:1672,cbu-school: School of Arts and Social Sciences,cbu-department: Communication and Languages,https://www.intechopen.com/online-first/thanking-in-cameroon-french,doi: 10.5772/intechopen.86140",,"Farenkia\, Bernard Mulo (author)",,,Thanking in Cameroon French,CC-BY,"Text,Book\, Section",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1672/datastream/PDF/download,11,ir:citationCModel
cbu:1674,,info:fedora/cbu:faculty-works,,,,,,The Workplace Review,"The Administrative Sciences Association of Canada (ASAC) is comprised of management educators and practitioners interested in advancing Canadian management scholarship\, teaching and practice. It has been challenged by a weak definition of one of its core institutional logics\, Canadian\, but has balanced it with a seemingly incompatible logic of international relevance. The Canadian Journal of Administrative Science (CJAS)\, part of the ASAC model\, is ideal example of Canadian organizing in practice. Through a discourse analysis of CJAS editorials and Canadian articles\, we propose these logics should not be viewed as incompatible\, they demonstrate an acceptance of plurality in Canadian management.",,"cbu:1674,cbu-school: Shannon School of Business,cbu-department: Organizational Management",business--workplace,"Doucette\, Mary Beth E. (author),Deal\, Nicholous M. (author)",,,CJAS constructions of Canadian pluralism,,"Text,Journal Article",,,,,12,ir:citationCModel
cbu:1681,,info:fedora/cbu:faculty-works,,,,,,International Journal of Coal Geology--International Journal of Coal Geology--01665162,"Seven compression fossils of the compound synangial organ Potoniea sensu stricto are reported for the first time from Cantabrian-aged (late Moscovian) strata in the Sydney Coalfield\, Nova Scotia\, Canada. They occurred at a single locality\, mostly in the proximo-distal repose position clearly showing sporangia overextending the distal-proximal surfaces\, and with one specimen laterally compressed. Specimens were studied under SEM and sporangia were macerated to reveal in situ microspores. The organs are characterized as a compound synangial organs consisting a very narrow stalk\, vascularized proximal cap and an outer cover of sporangial parts. Long\, cylindrical sporangia are grouped with synangia\, terminating as free sporangial tips that extend from the distal surface of the compound synangial organ. Sporangia are densely filled with trilete\, verrucate to rugulate microspores of the Verrucosisporites type. Taxonomically significant is the potential of using the cuticles from the cap of the compound synangial organ that have continuously thick bifurcating veins and stomata to link with the associated linopterid foliar taxa Linopteris and Alethopteris occurring within the Sydney Coalfield. Problems are encountered from the non-availability of linopterid cuticles and the poor preservation of Potoniea cuticles. Considering the newly discovered features\, the new species Potoniea krisiae sp. nov. is proposed.",,"cbu:1681,doi: 10.1016/j.coal.2019.05.007,https://linkinghub.elsevier.com/retrieve/pii/S0166516219302605,cbu-school: School of Science and Technology,cbu-department: Biology",cuticles--in situ microspores--synangia--linopterids--pennsylvanian--potoniea,"Pšenička\, Josef (author),Zodrow\, Erwin L. (author),Bek\, Jiří (author)",,2019-06,"The compound synangial organ Potoniea krisiae sp. nov. and its plausible relationship with linopterids based on cuticles from the Late Pennsylvanian Sydney Coalfield\, Canada",,"Journal Article,Text",,,,,13,ir:citationCModel
cbu:1678,,info:fedora/cbu:faculty-works,,,,,,Canadian Food Studies / La Revue canadienne des études sur l'alimentation--CFS/RCÉA--2292-3071,"Cape Breton Island is a well-known North American tourism destination with long-standing attractions such as the Cabot Trail and more recently developed world-class offerings such as the Cabot Links Golf Course. Tourism contributes significantly to Cape Breton’s economy\, particularly since the mid-20th century as traditional resource-based industries have declined. In the 21st century\, culinary tourism has become increasingly important to expand the island’s tourism offerings and to provide “authentic” tourism experiences. This study examines local-food tourism in Cape Breton to illuminate its cultural and economic significance. I conducted interviews with food producers\, restaurateurs\, government representatives\, and tourism executives. I also consulted websites and policy documents and compared local stakeholders’ experiences and perspectives with official tourism strategies. Promoting culinary tourism raises questions of power\, autonomy\, inclusion\, and accountability. My study accentuates possibilities for aligning economic and ecological goals to create resilient communities\, foster equitable social and ecological relations\, and establish Cape Breton as a culinary tourism destination.",,"cbu:1678,doi: 10.15353/cfs-rcea.v6i2.333,https://canadianfoodstudies.uwaterloo.ca/index.php/cfs/article/view/333,cbu-school: School of Arts and Social Sciences,cbu-department: Communication and Languages",culinary tourism--ecological food--cape breton--sustainable communities--local economies,"MacLeod\, Erna (author)",,2019-05-29,Culinary tourism on Cape Breton Island,CC-BY,"Journal Article,Text",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1678/datastream/PDF/download,14,ir:citationCModel
cbu:1680,,info:fedora/cbu:faculty-works,,,,,,Evidence-Based Second Language Pedagogy--978-1-351-19055-8,Background and purpose: Previous research showed that Foreign Language Enjoyment (FLE) and Foreign Language Classroom Anxiety (FLCA) were negatively correlated but essentially independent dimensions. The current study confirms this finding with new additional empirical evidence. \nMethods: This mixed-methods study is based on feedback from 750 FL learners around the world obtained via an online questionnaire. Quantitative data were Likert scale responses. Qualitative data (descriptions of classroom episodes in which participants experienced intense FLE and FLCA) was coded according to the source(s) of the emotion. Findings: Correlation analyses confirmed that FLE and FLCA are separate dimensions. Multiple regression analyses revealed that FLE was mostly predicted by teacher-related variables while FLCA was mostly predicted by the personality trait Emotional Stability. This finding was confirmed in the analysis of participants’ words. The most frequent cause of the FLE experience was the teacher while FLCA experiences were mostly frequently linked to the self. Conclusion: FLCA is less context-dependent than FLE. \nPedagogical suggestions: Teachers may rather focus on boosting FLE in a positive classroom environment rather than worry over FLCA.,,"cbu:1680,cbu-school: School of Science and Technology,cbu-department: Psychology,https://www.researchgate.net/publication/333814962_Evidence-Based_Second_Language_Pedagogy_A_Collection_of_Instructed_Second_Language_Acquisition_Studies,doi: 10.4324/9781351190558-12",,"MacIntyre\, Peter D. (author),Dewaele\, Jean-Marc (author)",,,"The predictive power of multicultural personality traits\, learner and teacher variables on foreign language enjoyment and anxiety",,"Text,Book\, Section",,,,,15,ir:citationCModel
cbu:1677,,info:fedora/cbu:faculty-works,,,,,,Nano and Bio-based Technologies for Wastewater Treatment: Prediction and Control Tools for the Dispersion of Pollutants in the Environment--9781119576945,"Dispersion of contaminants in an aquatic system refers to a process by which dissolved phase concentrations are reduced by the spreading of the plume and hydrodynamic through mixing with cleaner\, surrounding water. Thus\, metal dispersion in the environment is very distinct and environment dependent but dictated by physical-chemical processes that influence sorption and redox reactions. The reduction in plume concentrations of metal contaminants by dispersion\, for instance in groundwater flowing in aquifer sands and gravel\, is a very weak process compared to the turbulent mixing processes that occur in the open channel flow of surface water systems like streams. In a nutshell\, effective geochemical\, geotechnical background including the bedrock and material composition and properties\, physical features like topography and the hydrological regime\, as well as containment transport dynamics. Further\, the climatic factors play a crucial role in the overall predictions. Prediction of metal dispersion is necessary in pollution-prone environments\, like mining sites\, for establishing early warning systems when the contaminants would reach receiving environments of interest\, as well as designing preventive and remediation strategies. This chapter discusses fundamentals in designing effective predictions of metal dispersion in both surface and groundwater.",,"cbu:1677,cbu-school: School of Science and Technology,cbu-department: Chemistry,https://books.google.ca/books?hl=en&lr=&id=8XmaDwAAQBAJ&oi=fnd&pg=PP2&ots=azUay4V94q&sig=EgdMpM3k2EoWUuUuyxCcV2jmzus",,"Mkandawire\, Martin (author)",,,Geochemical prediction of metal dispersion in surface and groundwater systems,,"Text,Book\, Section",,,,,16,ir:citationCModel
cbu:1683,,info:fedora/cbu:faculty-works,,,,,,LEARNing Landscapes--1913-5688,"“Relief: Observations on Creative Nonfiction as Pedagogy” offers a case study in the possibilities of using creative writing as a pedagogical tool with ESL students. Analyzing the experience\, comments\, and creative work of a Chinese nursing student named Wei Wan at Ryerson University\, the essay explores the benefits of personal writing and peer workshops as tools for self-exploration\, aesthetic appreciation\, and confidence building. While urging teachers to see the advantages of this methodology\, the paper also reflects on the literary values of creative work in hybrid\, non-standard English forms.",,"cbu:1683,cbu-school: School of Arts and Social Sciences,cbu-department: Literature\, Folklore & The Arts",creative writing--creative nonfiction--defamiliarization--ESL/EFL teaching/writing--nonstandard English--personal essay--writing development,"Silverberg\, Mark (author)",,,Relief: Observations on creative nonfiction as pedagogy,CC-BY,"Text,Journal Article",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1683/datastream/PDF/download,17,ir:citationCModel
cbu:1679,,info:fedora/cbu:faculty-works,,,,,,Botanica Marina--1437-4323--0006-8055,,,"cbu:1679,doi: 10.1515/bot-2019-0028,http://www.degruyter.com/view/j/botm.2019.62.issue-3/bot-2019-0028/bot-2019-0028.xml,cbu-school: Research Centers and Others,cbu-department: Verschuren Centre",seaweed--marine,"Critchley\, Alan (author),Hurtado\, Anicia (author),Pereira\, Leonel (author),Cornish\, Melania (author),Largo\, Danilo (author),Paul\, Nicholas (author)",,2019-06-26,Seaweed resources of the world: A 2020 vision,,"Journal Article\, Editorial,Text",,,,,18,ir:citationCModel
cbu:1695,,info:fedora/cbu:faculty-works,,,,,,SAGE Open--SAGE Open--2158-2440--2158-2440,"This study uses a combination of anxiety/uncertainty management theory and communication accommodation theory perspective to examine differences in the ways women converse with men or with other women. The study uses an innovative approach\, the idiodynamic method\, to gather detailed data on a per-second timescale. Participants (n = 24) were randomly assigned to one of the two types of dyads: female–female or male–female. They then engaged in a videotaped conversation lasting approximately 2 to 5 min. Immediately afterward\, participants watched the video of their conversation in separate rooms\, during which each provided continuous\, dynamic ratings of their anxiety level\, and that of their partner\, throughout the conversation. Participants were interviewed about the reasons for changes in their ratings of both themselves and their conversational partner. Following a grounded theory approach to analysis\, six themes emerged from the interviews: awareness of the camera and researchers\, comparison of self and partners\, self-judgment\, worry about other’s judgment\, disinterest\, and reaction to miscommunication. The data show that communication accommodation was done differently in the female-only versus female–male pairs\, which might reflect processes involving uncertainty\, group identification\, and continuously negotiated meaning. There is value in using methods that investigate communication processes in real time because doing so allows instances of proposed theoretical differences between genders to emerge in actual conversation between persons.",,"cbu:1695,doi: 10.1177/2158244019861482,http://journals.sagepub.com/doi/10.1177/2158244019861482,cbu-school: School of Science and Technology,cbu-department: Psychology",dyadic conversation--idiodynamic--sex differences--anxiety and uncertainty management theory--communication accommodation theory,"MacIntyre\, Peter D. (author)",,2019-07-07,Anxiety/uncertainty management and communication accommodation in women’s brief dyadic conversations with a stranger: An idiodynamic approach,CC-BY,"Journal Article,Text",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1695/datastream/PDF/download,19,ir:citationCModel
cbu:1686,,info:fedora/cbu:faculty-works,,,,,,The Canadian Journal for the Scholarship of Teaching and Learning--cjsotl-rcacea--1918-2902,"In the winter term of 2016\, Cape Breton University launched a revised version of a second year Mi’kmaw Studies course entitled Learning from the Knowledge Keepers of Mi’kmaki (MIKM 2701). This course was designed to be led by local Elders and Knowledge Keepers with facilitation support from university faculty. It was designed by course facilitators as a dual-mode course\, with the opportunity for students to participate face-to-face and online\, and the excitement it generated quickly went “viral.” In this paper\, we describe the experiences of the participants in the course through an analysis of their own reflections on the 13 weeks of instruction. The aim of this analysis is to share course design considerations for post-secondary institutions attempting to “Indigenize the academy” at a course level\, but also to evaluate the process of co-learning as it was evidenced in the course as a means to address educational complexity and decolonization efforts in the classroom.",,"cbu:1686,doi: 10.5206/cjsotl-rcacea.2019.1.8006,https://ojs.lib.uwo.ca/index.php/cjsotl_rcacea/article/view/8006,cbu-school: School of Arts and Social Sciences,cbu-school: Shannon School of Business,cbu-department: Organizational Management,cbu-department: Experiential Studies in Community and Sport,cbu-department: Education,cbu-department: L'nu\, Political\, and Social Studies",culturally relevant pedagogy--co-learning--indigenous pedagogy--blended learning--community engaged learning--participatory reflective case study--indigenous studies--indigenous education--decolonizing education--settler-colonial studies--intercultural relations--reconciliation,"Root\, Emily (author),Augustine\, Stephen (author),Snow\, Kathy (author),Doucette\, Mary Beth (author)",,2019-05-31,Evidence of co-learning through a relational pedagogy: Indigenizing the curriculum through MIKM 2701,CC-BY,"Journal Article,Text",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1686/datastream/PDF/download,20,ir:citationCModel
cbu:1694,,info:fedora/cbu:faculty-works,,,,,,Lingua--Lingua--0024-3841,"Children with dyslexia who did not have SLI (n = 31) and typically-developing (TD\, n = 31) children with similar oral language and nonverbal skills completed a spoken sentence-picture matching task while an eye tracker recorded fixations and dwell time. No group differences were found on accuracy – which was very high across both groups. However\, there were online processing differences. The TD group made more target fixations and the dyslexic group made more fixations to syntax distractors. Time course analyses revealed that compared to the dyslexic group\, the TD group looked longer at the target when sentences became unambiguous. Across groups\, sentence accuracy\, target fixations\, and cumulative target dwell time were correlated. Word reading was correlated with sentence accuracy and both online sentence processing measures\, but only in the dyslexic group. In conclusion\, the eye tracking data uncovered more than the behavioral measures alone\, and children with dyslexia showed subtle sentence comprehension difficulties compared to TD peers.",,"cbu:1694,doi: 10.1016/j.lingua.2019.06.009,https://linkinghub.elsevier.com/retrieve/pii/S0024384119301020,cbu-school: School of Science and Technology,cbu-department: Psychology",dyslexia--children--spoken sentence comprehension--eye tracking,"Robertson\, Erin K. (author),Gallant\, Jennifer E. (author)",,2019-07,Eye tracking reveals subtle spoken sentence comprehension problems in children with dyslexia,,"Journal Article,Text",,,,,21,ir:citationCModel
cbu:1685,,info:fedora/cbu:faculty-works,,,,,,Collected Essays on Learning and Teaching--CELT--2368-4526,"We all fail. We also like to look good and avoid looking bad.  So\, even though we know that taking risks and trying new approaches are important for enhancing our teaching and students’ learning (Strean\, 2017)\, we rarely talk about our failures. Our claim in this paper is that our insecurities create a substantial barrier to improving and enriching our teaching practices.  If we do not find time to take big risks\, and then to explore and critically reflect on failures that result sometimes from those risks\, we lose out on the chance to become better teachers; more fundamentally\, we deprive our students of the chance to have extraordinary opportunities to learn.",,"cbu:1685,doi: 10.22329/celt.v12i0.5295,https://celt.uwindsor.ca/index.php/CELT/article/view/5295,cbu-school: School of Arts and Social Sciences,cbu-department: Experiential Studies in Community and Sport",teaching--learning,"Strean\, William Ben (author),Brooks\, Kim (author),Maher\, Patrick T. (author)",,2019-06-09,Train wrecks: 3M National teaching fellows explore creating learning and generative responses from colossal failures,CC-BY,"Journal Article,Text",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1685/datastream/PDF/download,22,ir:citationCModel
cbu:1693,,info:fedora/cbu:faculty-works,,,,,,Strategic Change--Strategic Change--1099-1697--1086-1718--1099-1697,"Identifying each organization's connection and contribution to the entrepreneurial ecosystem helps to highlight the gaps and the support needed for a sustainable entrepreneurial ecosystem. New Brunswick has much work ahead to host a large striving entrepreneurial ecosystem: a place for innovation\, entrepreneurship\, and collaboration. The key players in the ecosystem could provide educational institutions with entrepreneurial support\, such as resource opportunities that can support the growth of young entrepreneurs\, generate networks\, and ultimately provide mentorship opportunities. Sharing success stories of social enterprises with the community is important; social entrepreneurs hold the potential to solve complex social issues in the community and if they have the availability of a strong entrepreneurial ecosystem for support\, the future for a stronger economy and society is distinctly possible.",,"cbu:1693,doi: 10.1002/jsc.2266,https://onlinelibrary.wiley.com/doi/abs/10.1002/jsc.2266,cbu-school: Shannon School of Business,cbu-department: Organizational Management",,"Alam\, Jasmine (author),Ibn‐Boamah\, Mustapha (author),Johnson\, Kayla (author)",,2019-07-02,Exploring the entrepreneurial ecosystem: Some local Canadian perspectives,,"Journal Article,Text",,,,,23,ir:citationCModel
cbu:1696,,info:fedora/cbu:faculty-works,,,,"electronic,1",,Early Theatre--ET--2293-7609,,,"cbu:1696,doi: 10.12745/et.22.1.3938,https://earlytheatre.org/earlytheatre/article/view/3938,cbu-school: School of Arts and Social Sciences,cbu-department: Literature\, Folklore & The Arts,https://login.ezproxy.cbu.ca/login?url=http://link.galegroup.com/apps/doc/A590016888/AONE?u=capebret&sid=AONE&xid=9a393fd7",medieval english theatre,"Christie\, Sheila (author)",,2019,'The best pairt of our play': Essays presented to John J. McGavin. Medieval English Theatre ed. by Sarah Carpenter et al. (review),CC-BY,"Book review,Text",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1696/datastream/PDF/download,24,ir:citationCModel
cbu:1690,,info:fedora/cbu:faculty-works,,,,,,Electronic Journal of Differential Equations--1072-6691,"This article concerns the Cauchy problem for fourth-order semilinear Schrodinger equations. By constructing a variational problem and some invariant manifolds\, we prove the existence of a global solution. Then we analyze the difficulties in proving the finite time blowup of the solution for the corresponding problem in the frame of the variational method. Understanding the finite time blowup of solutions\, without radial initial data\, still remains an open problem.",,"cbu:1690,cbu-school: School of Science and Technology,cbu-department: Mathematics\, Physics and Geology",fourth-order shroedinger equation--global solution--blowup--variational problem--invariant manifolds,"Xu\, Runzhang (author),Lin\, Qiang (author),Chen\, Shaohua (author),Wen\, Guojun (author),Lian\, Wei",,,Difficulties in obtaining finite time blowup for fourth-order semilinear Schrodinger equations in the variational method frame,CC-BY,"Text,Journal Article",,,,https://cbufaces.cairnrepo.org/islandora/object/cbu:1690/datastream/PDF/download,25,ir:citationCModel
cbu:1698,,info:fedora/cbu:faculty-works,,,,,,Review of Palaeobotany and Palynology--Review of Palaeobotany and Palynology--0034-6667,"Cuticles of compression-preserved Dicroidium odontopteroides and Johnstonia coriacea (Corystospermaceae\, Upper Triassic\, Mendoza\, Argentina) are spectrochemically analyzed. The objectives included (i) studying the chemical resistance of cuticles to different oxidative conditions to gain new insights into their fine molecular structure and its likely (ii) chemotaxonomical and (iii) paleoecophysiological implications. Two experimental procedures are employed to obtain the cuticles from the compressions: (a) room-temperature (25o C and up to 75 min) and (b) high-temperature (500o C and up to 50 min) oxidative reactions using Schulze's reagent. Details of the molecular structure (i.e.\, functional groups) of cuticles are studied using Fourier transform infrared (FTIR) spectroscopy followed by data evaluation using principal component analysis and one-way ANOVA test. Morphological changes as a function of different oxidative conditions are monitored by scanning electron microscopy. Results indicate that the geomacropolymers composing the cuticles of both taxa are chemically characterized by high contents of aliphatic compounds with relatively smaller amounts of aromatic hydrocarbons. The presence of considerable contents of carbonyl groups in the cuticles indicates likely ester chemical “bridges” that cross-link aliphatic and aromatic hydrocarbons. These chemical bonds “strengthen” the molecular structure\, thus increasing the overall mechanical and chemical resistance of the cuticle. Conclusions include: (i) the cuticles of both taxa are extraordinarily resistant to extremely harsh chemical conditions\, which modified neither morphology nor chemical structure; (ii) independently of the oxidative procedure employed\, the two taxa cannot be statistically differentiated using the cuticular FTIR information; (iii) the high chemical resistance of the studied cuticles represents likely ecophysiological adaptations of the once living plants to survive stressful environmental conditions. They could have included high temperatures\, elevated CO2 concentrations\, seasonal drought\, and nutrient-deficient\, acidic soils exposed to intensive solar irradiation\, and eventual acid (H2SO4) precipitations. Chemical results are in agreement with taphonomic\, sedimentological\, paleopedological and (micro- and macro-) morphological data\, which indicate that the studied plants were likely opportunistic and stress-tolerant colonizers that dominated flood-disturbed\, waterlogged lowlands.\n\nThis combination of chemical and statistical tools enhances our understanding of the fine details of corystosperm cuticles regarding their structure\, taxonomy\, and paleoecophysiology.",,"cbu:1698,doi: 10.1016/j.revpalbo.2019.05.007,https://linkinghub.elsevier.com/retrieve/pii/S0034666719300193,cbu-school: Research Centers and Others,cbu-department: Biology",cuticular molecular structure--chemical resistance--dicroidium--johnstonia--chemotaxonomy--paleoecophysiology,"D'Angelo\, José Alejandro (author)",,2019-09,"Molecular structure of the cuticles of Dicroidium and Johnstonia (Corystospermaceae\, Triassic\, Argentina). Ecophysiological adaptations of two chemically indistinguishable\, morphology-based taxa",,"Journal Article,Text",,,,,26,ir:citationCModel
